,location,size,total_sqft,bath,balcony,price,price_per_sqft,encoded_loc
0,Electronic City Phase II,2,1056.0,2,1,39.07,3699.810606060606,78
1,Chikka Tirupathi,4,2600.0,5,3,120.0,4615.384615384615,60
2,Uttarahalli,3,1440.0,2,3,62.0,4305.555555555556,225
3,Lingadheeranahalli,3,1521.0,3,1,95.0,6245.890861275477,158
4,Kothanur,2,1200.0,2,1,51.0,4250.0,150
5,Whitefield,2,1170.0,2,1,38.0,3247.863247863248,234
6,Old Airport Road,4,2732.0,4,0,204.0,7467.0571010248905,182
7,Marathahalli,3,1310.0,3,1,63.25,4828.244274809161,165
8,Whitefield,3,1800.0,2,2,70.0,3888.8888888888887,234
9,Whitefield,4,2785.0,5,3,295.0,10592.45960502693,234
10,7th Phase JP Nagar,2,1000.0,2,1,38.0,3800.0,7
11,Gottigere,2,1100.0,2,2,40.0,3636.3636363636365,85
12,Sarjapur,3,2250.0,3,2,148.0,6577.777777777777,202
13,Mysore Road,2,1175.0,2,2,73.5,6255.31914893617,171
14,Bisuvanahalli,3,1180.0,3,2,48.0,4067.7966101694915,49
15,Raja Rajeshwari Nagar,3,1540.0,3,3,60.0,3896.103896103896,193
16,others,3,2770.0,4,2,290.0,10469.314079422382,240
17,others,2,1100.0,2,2,48.0,4363.636363636364,240
18,Kengeri,1,600.0,1,1,15.0,2500.0,139
19,Binny Pete,3,1755.0,3,1,122.0,6951.5669515669515,48
20,Bellandur,3,1767.0,3,1,103.0,5829.088851160159,43
21,Thanisandra,1,510.0,1,0,25.25,4950.980392156863,218
22,others,3,1250.0,3,2,56.0,4480.0,240
23,Electronic City,2,660.0,1,1,23.1,3500.0,77
24,Whitefield,3,1610.0,3,2,81.0,5031.055900621118,234
25,Ramagondanahalli,2,1151.0,2,2,48.77,4237.185056472633,196
26,Electronic City,3,1025.0,2,1,47.0,4585.365853658536,77
27,Yelahanka,4,2475.0,4,0,186.0,7515.151515151515,236
28,Bisuvanahalli,3,1075.0,2,1,35.0,3255.813953488372,49
29,Hebbal,3,1760.0,2,2,123.0,6988.636363636364,95
30,Raja Rajeshwari Nagar,3,1693.0,3,3,57.39,3389.84051978736,193
31,Kasturi Nagar,3,1925.0,3,0,125.0,6493.506493506494,135
32,Kanakpura Road,2,700.0,2,1,36.0,5142.857142857143,131
33,Electronics City Phase 1,2,1070.0,2,1,45.5,4252.336448598131,79
34,Kundalahalli,3,1724.0,3,2,125.0,7250.580046403712,154
35,Chikkalasandra,3,1290.0,2,2,56.12,4350.387596899225,62
36,Uttarahalli,2,1143.0,2,2,45.0,3937.0078740157483,225
37,Murugeshpalya,2,1296.0,2,0,81.0,6250.0,170
38,Sarjapur  Road,3,1254.0,3,2,38.0,3030.3030303030305,203
39,others,1,600.0,1,0,38.0,6333.333333333333,240
40,Yelahanka,1,660.0,1,0,48.0,7272.727272727273,236
41,Kanakpura Road,2,1330.74,2,2,91.79,6897.665960292769,131
42,Doddathoguru,2,970.0,2,0,33.0,3402.061855670103,73
43,Whitefield,2,1459.0,2,1,94.82,6498.971898560658,234
44,others,2,869.0,2,1,36.0,4142.692750287687,240
45,others,2,1270.0,2,1,50.0,3937.0078740157483,240
46,Bhoganhalli,3,1670.0,3,1,99.0,5928.143712574851,46
47,Whitefield,3,2010.0,3,2,91.0,4527.363184079602,234
48,Lakshminarayana Pura,2,1185.0,2,2,75.0,6329.113924050633,157
49,Yelahanka,3,1600.0,2,3,75.0,4687.5,236
50,Begur Road,2,1200.0,2,2,44.0,3666.6666666666665,42
51,Devanahalli,4,3210.0,2,0,192.0,5981.308411214954,68
52,Murugeshpalya,6,1407.0,4,1,150.0,10660.980810234541,170
53,others,2,840.0,2,2,45.0,5357.142857142857,240
54,others,3,4395.0,3,2,240.0,5460.750853242321,240
55,others,2,845.0,2,1,55.0,6508.87573964497,240
56,Whitefield,4,5700.0,5,3,650.0,11403.508771929824,234
57,Varthur,2,1160.0,2,2,44.0,3793.103448275862,226
58,Doddathoguru,2,1100.0,2,1,62.0,5636.363636363636,73
59,Gunjur,2,1140.0,2,3,43.0,3771.9298245614036,88
60,Marathahalli,2,1220.0,2,1,57.0,4672.131147540984,165
61,Kanakpura Road,2,1005.0,2,1,36.68,3649.7512437810947,131
62,Begur Road,2,1358.0,2,1,80.58,5933.726067746687,42
63,Hegde Nagar,3,1569.0,3,1,101.0,6437.221159974506,97
64,Haralur Road,2,1240.0,2,1,70.0,5645.1612903225805,93
65,Hennur Road,3,2089.0,3,2,140.0,6701.771182383915,99
66,Kothannur,2,1206.0,2,1,48.23,3999.1708126036483,149
67,Kalena Agrahara,2,1150.0,2,3,40.0,3478.2608695652175,125
68,others,3,2511.0,3,3,205.0,8164.078056551175,240
69,Kaval Byrasandra,2,460.0,1,0,22.0,4782.608695652174,137
70,ISRO Layout,6,4400.0,6,3,250.0,5681.818181818182,109
71,others,3,1660.0,2,2,105.0,6325.301204819277,240
72,Hennur Road,4,3203.5,2,0,224.5,7007.960043702201,99
73,Yelahanka,2,1326.0,2,2,78.0,5882.35294117647,236
74,Garudachar Palya,3,1325.0,2,2,60.8,4588.679245283019,82
75,Hegde Nagar,6,3000.0,7,2,210.0,7000.0,97
76,Kanakpura Road,3,1665.0,3,2,88.0,5285.285285285286,131
77,Dasanapura,2,708.0,2,2,37.0,5225.988700564972,66
78,Kasavanhalli,2,1060.0,2,2,58.06,5477.358490566037,134
79,Sanjay nagar,2,1000.0,2,2,70.0,7000.0,200
80,Electronic City,2,1000.0,2,1,28.88,2888.0,77
81,others,3,1450.0,2,2,70.0,4827.586206896552,240
82,Thanisandra,2,1296.0,2,3,80.0,6172.83950617284,218
83,Domlur,3,1540.0,3,2,90.0,5844.1558441558445,74
84,Kengeri,4,2894.0,4,1,245.0,8465.791292328957,139
85,Sarjapura - Attibele Road,3,1330.0,2,1,48.0,3609.0225563909776,204
86,others,2,1200.0,2,1,65.0,5416.666666666667,240
87,others,3,1200.0,3,1,90.0,7500.0,240
88,Yeshwanthpur,3,2502.0,3,3,138.0,5515.587529976019,239
89,Chandapura,2,650.0,1,1,17.0,2615.3846153846152,58
90,Kothanur,3,2400.0,2,1,150.0,6250.0,150
91,others,2,1007.0,2,2,43.0,4270.109235352532,240
92,others,2,1200.0,2,2,50.0,4166.666666666667,240
93,others,2,966.0,2,2,49.9,5165.631469979296,240
94,Nagarbhavi,3,1630.0,2,1,98.0,6012.269938650306,174
95,others,2,782.0,2,2,55.68,7120.204603580562,240
96,Devanahalli,2,1260.0,2,2,66.78,5300.0,68
97,others,3,1800.0,3,3,120.0,6666.666666666667,240
98,others,3,1413.0,2,2,75.0,5307.855626326964,240
99,Whitefield,2,1116.0,2,1,51.91,4651.433691756272,234
100,Electronic City,3,1530.0,2,1,45.9,3000.0,77
101,Ramamurthy Nagar,4,3700.0,4,1,225.0,6081.081081081081,197
102,Sarjapur  Road,3,2497.0,3,2,140.0,5606.728073688426,203
103,Kengeri,3,1540.0,2,3,64.0,4155.8441558441555,139
104,Thanisandra,3,1436.0,3,1,74.75,5205.431754874652,218
105,Malleshwaram,2,1100.0,2,2,75.0,6818.181818181818,164
106,Hennur Road,2,276.0,3,3,23.0,8333.333333333334,99
107,Thanisandra,3,1427.0,3,2,120.0,8409.250175192712,218
108,Akshaya Nagar,3,2061.0,3,1,200.0,9704.02717127608,12
109,Hebbal,4,5611.5,4,0,477.0,8500.400962309543,95
110,Shampura,4,2650.0,4,2,150.0,5660.377358490566,208
111,Devanahalli,3,1282.0,2,2,68.52,5344.773790951638,68
112,Kadugodi,2,1050.0,2,1,34.0,3238.095238095238,121
113,LB Shastri Nagar,3,1600.0,3,2,65.0,4062.5,155
114,others,2,945.0,2,1,54.0,5714.285714285715,240
115,Hormavu,2,1500.0,2,1,78.0,5200.0,103
116,others,3,1870.0,3,3,110.0,5882.35294117647,240
117,Sarjapur,3,1600.0,3,1,75.0,4687.5,202
118,Electronic City,2,880.0,1,1,16.5,1875.0,77
119,Kudlu Gate,3,1535.0,3,2,83.0,5407.166123778502,152
120,Kanakpura Road,2,950.0,2,1,57.0,6000.0,131
121,Devanahalli,2,1360.0,2,1,65.0,4779.411764705882,68
122,8th Phase JP Nagar,2,1073.5,2,0,54.005,5030.740568234746,8
123,Bommasandra Industrial Area,3,1280.0,3,1,50.4,3937.5,52
124,others,3,1260.0,2,2,85.05,6750.0,240
125,Yelahanka,5,3050.0,5,1,213.0,6983.606557377049,236
126,Kasavanhalli,3,1563.05,3,1,105.0,6717.635392341896,134
127,ISRO Layout,2,1000.0,2,1,60.0,6000.0,109
128,Anandapura,2,1167.0,2,1,43.76,3749.7857754927163,16
129,Kothanur,3,1828.0,3,0,110.0,6017.505470459519,150
130,Kengeri Satellite Town,2,890.0,2,1,35.0,3932.5842696629215,140
131,others,3,1612.0,3,3,46.74,2899.5037220843674,240
132,Mysore Road,3,1710.0,4,2,91.31,5339.766081871345,171
133,Kannamangala,2,957.0,2,1,58.0,6060.606060606061,132
