,size,total_sqft,bath,balcony,price,encoded_loc
0,2,1056.0,2,1,39.07,78
1,4,2600.0,5,3,120.0,60
2,3,1440.0,2,3,62.0,225
3,3,1521.0,3,1,95.0,158
4,2,1200.0,2,1,51.0,150
5,2,1170.0,2,1,38.0,234
6,4,2732.0,4,0,204.0,182
7,3,1310.0,3,1,63.25,165
8,3,1800.0,2,2,70.0,234
9,4,2785.0,5,3,295.0,234
10,2,1000.0,2,1,38.0,7
11,2,1100.0,2,2,40.0,85
12,3,2250.0,3,2,148.0,202
13,2,1175.0,2,2,73.5,171
14,3,1180.0,3,2,48.0,49
15,3,1540.0,3,3,60.0,193
16,3,2770.0,4,2,290.0,240
17,2,1100.0,2,2,48.0,240
18,1,600.0,1,1,15.0,139
19,3,1755.0,3,1,122.0,48
20,3,1767.0,3,1,103.0,43
21,1,510.0,1,0,25.25,218
22,3,1250.0,3,2,56.0,240
23,2,660.0,1,1,23.1,77
24,3,1610.0,3,2,81.0,234
25,2,1151.0,2,2,48.77,196
26,3,1025.0,2,1,47.0,77
27,4,2475.0,4,0,186.0,236
28,3,1075.0,2,1,35.0,49
29,3,1760.0,2,2,123.0,95
30,3,1693.0,3,3,57.39,193
31,3,1925.0,3,0,125.0,135
32,2,700.0,2,1,36.0,131
33,2,1070.0,2,1,45.5,79
34,3,1724.0,3,2,125.0,154
35,3,1290.0,2,2,56.12,62
36,2,1143.0,2,2,45.0,225
37,2,1296.0,2,0,81.0,170
38,3,1254.0,3,2,38.0,203
39,1,600.0,1,0,38.0,240
40,1,660.0,1,0,48.0,236
41,2,1330.74,2,2,91.79,131
42,2,970.0,2,0,33.0,73
43,2,1459.0,2,1,94.82,234
44,2,869.0,2,1,36.0,240
45,2,1270.0,2,1,50.0,240
46,3,1670.0,3,1,99.0,46
47,3,2010.0,3,2,91.0,234
48,2,1185.0,2,2,75.0,157
49,3,1600.0,2,3,75.0,236
50,2,1200.0,2,2,44.0,42
51,4,3210.0,2,0,192.0,68
52,6,1407.0,4,1,150.0,170
53,2,840.0,2,2,45.0,240
54,3,4395.0,3,2,240.0,240
55,2,845.0,2,1,55.0,240
56,4,5700.0,5,3,650.0,234
57,2,1160.0,2,2,44.0,226
58,2,1100.0,2,1,62.0,73
59,2,1140.0,2,3,43.0,88
60,2,1220.0,2,1,57.0,165
61,2,1005.0,2,1,36.68,131
62,2,1358.0,2,1,80.58,42
63,3,1569.0,3,1,101.0,97
64,2,1240.0,2,1,70.0,93
65,3,2089.0,3,2,140.0,99
66,2,1206.0,2,1,48.23,149
67,2,1150.0,2,3,40.0,125
68,3,2511.0,3,3,205.0,240
69,2,460.0,1,0,22.0,137
70,6,4400.0,6,3,250.0,109
71,3,1660.0,2,2,105.0,240
72,4,3203.5,2,0,224.5,99
73,2,1326.0,2,2,78.0,236
74,3,1325.0,2,2,60.8,82
75,6,3000.0,7,2,210.0,97
76,3,1665.0,3,2,88.0,131
77,2,708.0,2,2,37.0,66
78,2,1060.0,2,2,58.06,134
79,2,1000.0,2,2,70.0,200
80,2,1000.0,2,1,28.88,77
81,3,1450.0,2,2,70.0,240
82,2,1296.0,2,3,80.0,218
83,3,1540.0,3,2,90.0,74
84,4,2894.0,4,1,245.0,139
85,3,1330.0,2,1,48.0,204
86,2,1200.0,2,1,65.0,240
87,3,1200.0,3,1,90.0,240
88,3,2502.0,3,3,138.0,239
89,2,650.0,1,1,17.0,58
90,3,2400.0,2,1,150.0,150
91,2,1007.0,2,2,43.0,240
92,2,1200.0,2,2,50.0,240
93,2,966.0,2,2,49.9,240
94,3,1630.0,2,1,98.0,174
95,2,782.0,2,2,55.68,240
96,2,1260.0,2,2,66.78,68
97,3,1800.0,3,3,120.0,240
98,3,1413.0,2,2,75.0,240
99,2,1116.0,2,1,51.91,234
100,3,1530.0,2,1,45.9,77
101,4,3700.0,4,1,225.0,197
102,3,2497.0,3,2,140.0,203
103,3,1540.0,2,3,64.0,139
104,3,1436.0,3,1,74.75,218
105,2,1100.0,2,2,75.0,164
106,2,276.0,3,3,23.0,99
107,3,1427.0,3,2,120.0,218
108,3,2061.0,3,1,200.0,12
109,4,5611.5,4,0,477.0,95
110,4,2650.0,4,2,150.0,208
111,3,1282.0,2,2,68.52,68
112,2,1050.0,2,1,34.0,121
113,3,1600.0,3,2,65.0,155
114,2,945.0,2,1,54.0,240
115,2,1500.0,2,1,78.0,103
116,3,1870.0,3,3,110.0,240
117,3,1600.0,3,1,75.0,202
118,2,880.0,1,1,16.5,77
119,3,1535.0,3,2,83.0,152
120,2,950.0,2,1,57.0,131
121,2,1360.0,2,1,65.0,68
122,2,1073.5,2,0,54.005,8
123,3,1280.0,3,1,50.4,52
124,3,1260.0,2,2,85.05,240
125,5,3050.0,5,1,213.0,236
126,3,1563.05,3,1,105.0,134
127,2,1000.0,2,1,60.0,109
128,2,1167.0,2,1,43.76,16
129,3,1828.0,3,0,110.0,150
130,2,890.0,2,1,35.0,140
131,3,1612.0,3,3,46.74,240
132,3,1710.0,4,2,91.31,171
133,2,957.0,2,1,58.0,132
134,3,1250.0,2,3,44.0,69
135,3,2795.0,4,0,235.0,240
136,2,1125.0,2,2,50.0,108
137,2,1020.0,2,1,30.6,78
138,2,1200.0,2,2,50.0,125
139,3,1735.0,3,3,135.0,218
140,3,2050.0,3,1,145.0,218
141,3,1350.0,2,3,48.0,240
142,2,1063.0,2,1,32.0,104
143,3,1904.0,3,1,150.0,240
144,4,4200.0,4,2,420.0,234
145,3,2000.0,3,1,175.0,240
146,2,1242.5,2,0,43.49,202
147,3,1425.0,2,2,75.0,240
148,3,1500.0,2,1,64.5,77
149,2,1060.0,2,1,60.0,77
150,3,1470.0,2,2,70.0,240
151,6,1300.0,6,0,99.0,240
152,1,450.0,1,1,11.0,22
153,2,1152.0,2,1,64.5,77
154,3,1350.0,2,1,56.0,77
155,3,1550.0,3,3,65.0,56
156,3,1500.0,3,2,100.0,240
157,1,400.0,1,0,14.0,176
158,1,705.0,1,2,67.0,164
159,2,770.0,1,1,36.0,77
160,2,1242.0,2,3,51.0,108
161,3,1700.0,3,2,155.0,96
162,3,2144.0,3,2,145.0,218
163,3,1704.0,3,2,110.0,230
164,2,1070.0,2,1,52.0,77
165,2,1340.0,2,2,55.7,240
166,2,1025.0,2,1,46.0,77
167,2,1277.5,2,0,56.8,119
168,2,1200.0,2,2,52.0,165
169,4,2250.0,4,1,110.0,131
170,3,1550.0,2,3,80.0,188
171,2,1200.0,2,2,60.0,165
172,2,1327.0,2,2,98.0,236
173,2,1186.0,2,2,58.0,150
174,3,1783.0,3,1,115.0,240
175,3,1400.0,3,2,56.0,92
176,2,980.0,2,1,48.0,175
177,2,1285.0,2,2,82.0,76
178,3,912.0,2,1,70.0,240
179,2,1225.0,2,2,47.6,234
180,2,1075.0,2,1,53.0,234
181,3,1260.0,2,2,54.0,121
182,3,1282.0,2,2,48.7,236
183,3,1909.0,3,2,88.0,146
184,2,1359.0,2,1,87.0,186
185,2,1207.0,2,2,43.5,240
186,3,1595.0,3,2,65.0,129
187,3,1798.0,3,2,89.0,240
188,3,1475.0,3,2,78.29,79
189,3,1580.0,3,3,100.0,240
190,2,1295.0,2,1,65.0,67
191,6,3600.0,6,0,141.0,159
192,1,589.0,1,1,27.0,77
193,3,1415.0,3,3,78.0,240
194,3,1787.0,3,2,98.29,203
195,3,1787.0,3,2,125.0,203
196,3,1475.0,2,3,90.0,148
197,4,2000.0,4,1,75.5,240
198,2,984.0,2,1,44.28,203
199,3,1630.0,2,0,74.82,68
200,3,2405.0,4,2,260.0,240
201,2,1080.0,2,2,72.0,7
202,2,1500.0,2,1,115.0,240
203,3,1900.0,3,2,119.0,95
204,2,805.0,2,1,22.14,75
205,2,1153.0,2,2,56.4,55
206,2,1148.0,2,2,60.0,240
207,2,1110.0,2,2,55.0,240
208,2,1100.0,2,2,42.0,77
209,2,1290.0,2,2,110.0,126
210,3,1500.0,2,1,65.0,240
